Time,X,Y,Z
1714992712847,0.0,0.0,0.0
1714992712851,-0.0021349788,-0.0095191,0.0067853928
1714992712856,-0.009515554,-0.0070672035,0.027247429
1714992712860,-0.010257512,-0.0021266937,0.025829792
1714992712869,-0.0062455535,0.007314682,0.013020992
1714992712873,-0.003803879,0.014737606,-0.021775246
1714992712877,0.018154323,0.00714159,-0.028297424
1714992712881,0.024830252,-0.0079984665,-0.03286028
1714992712885,0.019212425,0.0027575493,-0.031876564
1714992712890,0.008660495,0.011115551,-0.08041382
1714992712899,0.02173838,-0.2114172,-0.037159443
1714992712903,0.12722507,-0.15131092,-0.10322857
1714992712907,-0.016577333,0.19150496,0.08401346
1714992712912,0.031873345,-0.01670742,0.08298111
1714992712916,0.03101717,0.037148476,0.064759254
1714992712920,0.009937629,0.020452023,0.0344944
1714992712929,0.019406319,0.004948139,0.012918949
1714992712933,-0.009337842,0.01554203,0.003946781
1714992712937,-0.022415295,-0.018708229,-0.055728436
1714992712941,-0.041156873,-0.05767584,-0.05181837
1714992712946,-0.059181765,-0.021023273,-0.03400278
1714992712950,-0.12363988,0.26263905,-0.015796661
1714992712958,-0.058273256,-0.56010675,0.07810593
1714992712962,0.10698368,-0.099877834,-0.17260027
1714992712966,-0.11501795,0.35702467,0.12173128
1714992712971,0.11395945,-0.45557737,0.016490936
1714992712976,0.03624767,0.45198393,-0.009250164
1714992712984,-0.008458078,-0.22936487,0.20191288
1714992712988,0.2881176,-0.40058708,-0.15579987
1714992712993,0.022043422,0.32325125,-0.01282835
1714992712997,0.042475417,-0.059662342,-0.06405878
1714992713001,0.047687396,-0.017240524,-0.11543989
1714992713005,3.708601E-4,-0.0461154,-0.116620064
1714992713014,0.018821284,-0.07608223,-0.08140373
1714992713018,-0.004800543,-0.027584553,-0.007910252
1714992713023,-0.02836059,-0.039075375,0.005777836
1714992713027,-0.008426949,-0.039666176,-0.016631603
1714992713031,-0.00958921,0.012057781,-0.00706625
1714992713035,-0.040139526,0.31962347,0.019814014
1714992713044,-0.024304703,-0.32869244,0.10690355
1714992713047,0.20390284,-0.29629755,-0.23839474
1714992713052,-0.06755169,0.55213547,0.0049910545
1714992713057,0.071277395,-0.4636731,-0.033984184
1714992713062,0.08901185,0.25855398,-0.18572474
1714992713065,-0.049401492,0.016221046,0.15945053
1714992713074,0.25675356,-0.5214329,-0.07001352
1714992713079,0.04993376,0.81132126,0.05095482
1714992713082,0.048640296,-0.2287879,0.2479701
1714992713087,0.20282438,-0.044208527,-0.0876627
1714992713091,-0.0056109726,0.38596487,0.122666836
1714992713095,0.07251681,-0.07548094,0.026544094
1714992713104,0.068498276,0.06770754,-0.045726776
1714992713108,0.014426723,0.029736519,0.0061182976
1714992713112,0.042807072,-0.01667118,0.0037398338
1714992713116,0.045128807,0.008845329,-0.0047273636
1714992713120,0.05558318,0.04174471,0.011836052
1714992713125,0.06908415,0.05227709,0.044460297
1714992713134,0.06817234,0.10327101,0.013759136
1714992713138,0.049798407,0.15266085,-0.04878378
1714992713142,0.033806637,-0.053146362,-0.08131647
1714992713146,0.104696326,-0.032925606,-0.211411
1714992713151,-0.060796365,0.3673911,0.02671051
1714992713155,0.12724751,-0.57099676,-0.12119532
1714992713163,0.120196916,0.4493332,-0.18283892
1714992713168,-0.13596624,0.26243496,0.22186184
1714992713172,0.17808346,-0.42845154,-0.1556344
1714992713176,0.001211524,0.51224804,0.027649403
1714992713181,0.022989646,-0.30707693,0.15160131
1714992713185,0.20472911,0.08215809,-0.0319829
1714992713193,-0.19629847,0.730741,0.35585833
1714992713198,0.08048937,-0.62051105,0.072749615
1714992713202,0.050553255,0.33963633,0.018707275
1714992713206,-0.09204009,0.029951096,0.23166418
1714992713210,0.12542166,-0.30169153,-0.029340744
1714992713220,-0.19046661,0.6993847,0.19202709
1714992713223,-0.089122474,-0.4683075,0.12282133
1714992713228,-0.0050721467,-0.02020073,0.026121616
1714992713232,-0.082415044,0.05739832,0.086782455
1714992713237,-0.03184022,-0.04041624,-0.0074982643
1714992713240,-0.003556043,0.02757454,-0.0035738945
1714992713249,0.03247708,0.0482502,-0.034050465
1714992713254,0.07599169,0.097335815,-0.048890114
1714992713258,0.12233512,0.118350506,-0.027850151
1714992713262,0.14761308,0.1474967,-0.0045552254
1714992713266,0.13723315,0.109054565,-0.09160042
1714992713270,0.07294971,0.06462526,-0.11504793
1714992713279,0.0022975206,-0.009717941,-0.090063095
1714992713283,-0.051717386,-0.06725407,-0.07111645
1714992713287,-0.05754018,-0.091920376,-0.025769234
1714992713292,-0.0527153,-0.097928524,0.072104454
1714992713296,-0.08646603,-0.080048084,0.17623997
1714992713300,-0.107398465,-0.07047987,0.27929974
1714992713309,-0.08770022,-0.056688786,0.37288237
1714992713313,-0.06553514,-0.07221174,0.40758944
1714992713317,-0.08853078,-0.055189133,0.34518433
1714992713321,-0.10057469,-0.06838751,0.199193
1714992713327,-0.118304074,-0.104194164,0.006485462
1714992713330,-0.16039738,-0.162189,-0.1613884
1714992713339,-0.17658563,-0.22299957,-0.21056366
1714992713343,-0.201859,-0.24441147,-0.19609308
1714992713347,-0.22570322,-0.24165678,-0.13716173
1714992713352,-0.20387384,-0.21769905,-0.04759264
1714992713356,-0.17779003,-0.15986538,0.020646095
1714992713360,-0.15140004,-0.08165741,-0.0026474
1714992713368,-0.10490143,-0.059093475,0.01758194
1714992713373,-0.045250386,-0.024857521,0.078633785
