Time,X,Y,Z
1714956793193,0.0,0.0,0.0
1714956793197,0.012085915,-0.011746883,0.021848679
1714956793201,0.025409937,-0.0042510033,0.03222418
1714956793205,0.030724525,0.006734371,-0.007633209
1714956793209,0.04547763,0.008923531,-0.05515957
1714956793218,0.044207096,-0.0031080246,-0.09787798
1714956793222,0.034897804,-0.028517246,-0.13748932
1714956793227,0.029277802,-0.021212578,-0.18242884
1714956793231,0.0376873,-0.014773369,-0.1948719
1714956793237,0.03068304,0.010570526,-0.18721294
1714956793241,-0.04884243,0.28328753,-0.18672037
1714956793248,-0.03382945,-0.19893837,-0.16185808
1714956793253,-0.027101278,-0.09133005,-0.08863306
1714956793257,-0.040890932,0.0044636726,-0.008985043
1714956793262,-0.071175575,-0.071817875,0.0029706955
1714956793266,-0.097034454,-0.054745674,0.04634428
1714956793270,-0.09481931,-0.08205414,0.043720245
1714956793278,-0.09178209,-0.06500864,0.03847599
1714956793283,-0.120518684,-0.040456295,0.05741787
1714956793287,-0.13770795,-0.077940464,0.04355192
1714956793291,-0.14174294,-0.1826539,0.02162981
1714956793295,-0.14305806,0.0042676926,0.015794277
1714956793304,-0.29693747,0.303504,0.08095503
1714956793308,-0.022203684,-0.7719059,-0.08402777
1714956793312,-0.12980866,0.2508297,-0.06740904
1714956793317,-0.21818137,0.0928731,-0.08226395
1714956793321,-0.0021042824,-0.36618423,-0.23230696
1714956793325,-0.21022654,0.4814124,-0.12801075
1714956793333,0.0022220612,-0.545424,-0.20056725
1714956793338,0.07312727,-0.07281208,-0.16489601
1714956793343,-0.10445142,0.27205706,-0.017455578
1714956793347,0.042793274,-0.10931778,-0.06615114
1714956793351,0.03654647,0.04534912,0.04842949
1714956793355,0.06577873,0.019948483,0.086942196
1714956793364,0.047889948,0.013444424,0.052329063
1714956793368,0.022731304,0.013501167,0.052479267
1714956793372,-0.0053384304,-0.03480816,0.08404875
1714956793376,-0.051263332,-0.008403301,0.066942215
1714956793381,-0.09128499,-0.004793167,0.037962914
1714956793385,-0.17141056,0.3043437,0.04823494
1714956793396,-0.17979765,-0.29747772,0.06021166
1714956793398,-0.04868245,-0.33197355,-0.10747194
1714956793402,-0.3094349,0.4781103,-0.07275534
1714956793407,-0.14476633,-0.46253967,-0.09317827
1714956793413,-0.18795705,0.2196331,-0.2230792
1714956793415,-0.24218726,0.039348602,-0.18246841
1714956793424,0.036043644,-0.54351854,-0.2625184
1714956793429,-0.23058915,0.68789434,-0.25461626
1714956793432,-0.117574215,-0.23214674,-0.19666815
1714956793437,0.004522562,-0.1371727,-0.23680925
1714956793441,-0.13400316,0.27188873,-0.11575556
1714956793445,0.019292355,-0.1036129,-0.13591337
1714956793455,0.033800125,0.043772697,-0.14751387
1714956793457,0.04316449,-0.01882267,-0.08622265
1714956793462,0.09711838,-0.020080566,-0.0056214333
1714956793466,0.085220575,0.016143322,0.031797886
1714956793471,0.05952525,0.004740715,0.08539772
1714956793475,0.02920556,-0.022038937,0.20381784
1714956793484,-0.022373676,-1.0681152E-4,0.25598764
1714956793488,-0.055693865,-0.04398489,0.24842167
1714956793492,-0.11630869,0.08573294,0.24748945
1714956793496,-0.2085383,0.13534403,0.25764084
1714956793501,-0.07844186,-0.41044283,0.14705658
1714956793505,-0.2393632,0.52336884,0.10492182
1714956793514,-0.28915644,-0.098837376,0.2451148
1714956793518,-0.016141653,-0.3838811,0.04054928
1714956793522,-0.26721764,0.5615554,0.057920933
1714956793526,-0.1284411,-0.28075123,0.054046154
1714956793531,-0.1074419,0.22227526,-0.056794643
1714956793540,-0.24061084,0.27692032,0.044861794
1714956793543,0.062924385,-0.7375641,-0.114703655
1714956793548,-0.15360785,0.5066676,-0.038239956
1714956793552,-0.16615629,-0.029206753,0.0120949745
1714956793556,0.004909277,-0.16696692,-0.081134796
1714956793561,-0.20124531,0.45838737,0.05561447
1714956793569,0.06661034,-0.61432266,-0.07516956
1714956793573,0.069692135,0.18026924,-0.13006783
1714956793579,-0.09080315,0.21218967,-0.06162691
1714956793582,0.077023506,-0.0812664,-0.1913495
1714956793587,0.072824,0.11927366,-0.1504631
1714956793590,0.12692952,0.165905,-0.109920025
1714956793600,0.10311985,0.14518785,-0.04625988
1714956793604,-0.00400424,0.08212471,0.0139222145
1714956793607,-0.06040883,-0.0178051,0.07971811
1714956793612,-0.11266899,-0.0057172775,0.10605812
1714956793615,-0.1567862,0.020327568,0.062458515
1714956793621,-0.19007444,0.01220274,0.028647423
1714956793629,-0.24456263,0.029514313,0.041960716
1714956793633,-0.23339987,0.046551704,0.03142023
1714956793637,-0.2594447,0.039995193,-0.035532475
1714956793642,-0.27338386,0.027023315,-0.076719284
1714956793646,-0.28056765,0.021082878,-0.1178236
1714956793650,-0.25962138,0.029332638,-0.17367077
1714956793659,-0.21976662,0.057260036,-0.16395712
1714956793663,-0.21699452,0.05349493,-0.12698507
1714956793667,-0.18107605,0.054249287,-0.078463554
1714956793672,-0.15529633,0.057793617,-0.0139660835
1714956793676,-0.14083052,0.04383278,0.065169334
1714956793681,-0.13588905,0.031302452,0.14927101
1714956793689,-0.14985633,0.02181387,0.22050285
1714956793692,-0.18399382,0.0017142296,0.28013468
1714956793697,-0.21686387,0.033887386,0.3270383
1714956793701,-0.29228878,0.03347397,0.40399504
1714956793706,-0.41566968,0.051095963,0.48819923
1714956793710,-0.5572512,0.09505415,0.5493598
1714956793718,-0.6676012,0.11774397,0.5471959
