Time,X,Y,Z
1714956767775,-4.4822693E-5,0.0045546293,0.008430481
1714956767781,-0.0025595427,0.0072536618,0.02184391
1714956767788,-0.008292913,0.006937161,0.04314041
1714956767793,-0.015531659,0.008904323,0.03632927
1714956767797,-0.026327848,-4.4587255E-4,0.025871277
1714956767801,-0.039826155,0.0028538406,0.0010547638
1714956767805,-0.058542013,-0.0038385391,-0.013472557
1714956767810,-0.07288921,-0.010627672,-0.03699875
1714956767819,-0.10553956,-0.018634826,-0.072787285
1714956767823,0.004888892,-0.0101097375,-0.06665802
1714956767827,-0.056432128,-0.042896315,-0.21240234
1714956767832,-0.25389397,-0.017260373,-0.3665514
1714956767836,-0.19056064,-0.045336127,-0.07044506
1714956767841,-0.19167215,-0.019154236,0.013622284
1714956767849,-0.15691835,-0.03613253,-0.034532547
1714956767852,-0.15982878,-0.035857946,-0.016301155
1714956767857,-0.19328445,-0.02191317,-0.040790558
1714956767861,-0.1487773,-0.029488206,-0.0043497086
1714956767866,-0.13417387,-0.018603012,-0.016428947
1714956767874,-0.11351818,-0.012576148,-0.008374214
1714956767880,-0.018038392,0.020076543,0.14745235
1714956767883,0.113622546,-0.0125056505,0.20755291
1714956767888,-0.25130415,-0.007298887,-0.24177647
1714956767891,0.014704227,-0.02046308,0.13627815
1714956767896,0.088161826,0.018517956,0.15414047
1714956767904,-0.31726766,-0.04109031,-0.3859787
1714956767908,0.35822964,0.026235566,0.54529667
1714956767913,-0.017463207,0.007461056,-0.057549477
1714956767917,-0.20657355,-0.0051520467,-0.37023544
1714956767921,0.060515046,0.05049555,0.07596302
1714956767925,-8.5127354E-4,0.029773995,-0.069376945
1714956767934,-0.023594975,0.09425776,-0.08365917
1714956767938,-0.017807245,0.04650925,-0.043211937
1714956767943,-0.04131484,0.08110994,-0.0992775
1714956767947,-0.021235347,0.09188083,-0.052513123
1714956767951,-0.018193603,0.0986401,-0.057278633
1714956767955,0.02045536,0.121062815,-0.040219307
1714956767964,0.1145035,0.138803,0.05566597
1714956767968,0.32883108,0.12296128,0.26094913
1714956767972,-0.036129117,0.0911535,-0.21874714
1714956767976,0.12733161,0.054119945,0.011609077
1714956767981,0.36666727,0.067846075,0.2205925
1714956767985,-0.07590151,-0.023103833,-0.35084534
1714956767994,0.520766,0.009216607,0.43325424
1714956767998,0.28834176,-0.06736833,0.043946266
1714956768003,0.001660347,-0.117312804,-0.30390835
1714956768006,0.47357333,-0.08155942,0.30156612
1714956768011,0.054442406,-0.16194795,-0.27068615
1714956768015,0.22476375,-0.054261297,0.06480694
1714956768024,0.3898518,-0.1346362,0.36387634
1714956768028,0.09138441,-0.10646783,-0.1702547
1714956768033,0.19161952,-0.06589964,-0.11426163
1714956768036,0.16233444,-0.08163476,-0.12839127
1714956768041,0.10140097,-0.039570957,-0.13909054
1714956768046,0.08733821,-0.052598834,-0.12586594
1714956768054,0.048585415,-0.015051156,-0.16613483
1714956768058,0.014509559,-0.04092671,-0.13707542
1714956768063,1.2600422E-4,-0.029402629,-0.13207245
1714956768066,-0.013906121,-0.027596682,-0.19775295
1714956768071,-0.2744136,-0.03845434,-0.39090633
1714956768075,-0.012379289,0.01162073,0.12076092
1714956768084,0.05200386,-0.07341269,0.2882042
1714956768088,-0.46000612,0.019338235,-0.32404804
1714956768092,0.04767847,0.02214031,0.29226208
1714956768096,-0.23672903,-0.030902833,0.08593464
1714956768101,-0.23682827,0.05650036,0.029613495
1714956768109,0.146492,-0.10692993,0.5725317
1714956768113,-0.56515235,0.04598035,-0.25185204
1714956768117,-0.06689739,0.0021520704,0.22340584
1714956768122,-0.003993869,-0.095478535,0.41477108
1714956768126,-0.34490728,-0.010685876,-0.10760689
1714956768130,0.11854291,-0.1288668,0.48343658
1714956768140,-0.32193667,0.0046521127,-0.08107662
1714956768143,-0.21796858,-0.11087231,-0.19093323
1714956768147,0.29285908,-0.13696796,0.5487423
1714956768152,-0.12783694,-0.048029706,-0.10269356
1714956768156,-0.099505186,-0.1330446,-0.09061432
1714956768163,-0.04745066,-0.06741779,0.09380627
1714956768169,-0.013491392,-0.09482955,-0.023914337
1714956768173,0.01594162,-0.054121852,-0.035759926
1714956768177,0.0035805702,-0.04530129,-0.030718803
1714956768181,0.015847445,-0.047632203,-0.039294243
1714956768186,0.016049027,-0.031684265,-0.07424927
1714956768190,-0.001408577,-0.037057087,-0.09024906
1714956768199,-0.010308385,-0.014857739,-0.076441765
1714956768203,0.012857795,-0.0077996105,-0.09135246
1714956768207,0.020558715,4.4445693E-4,-0.0691061
1714956768213,0.00659132,0.010330126,-0.06991005
1714956768216,0.03524077,0.017229542,-0.058011055
1714956768221,0.07143271,0.029738322,-0.04412079
1714956768228,0.11883688,0.047020033,-0.006457329
1714956768233,0.14659488,0.05795802,-0.018383026
1714956768237,0.17369485,0.07077254,-0.03468418
1714956768241,0.18963766,0.0768632,-0.05485344
1714956768245,0.20626497,0.08099058,-0.062170982
1714956768250,0.2128371,0.09065938,-0.07572174
1714956768258,0.22004044,0.092730716,-0.08044052
1714956768262,0.20373642,0.09337984,-0.06959343
1714956768267,0.19215858,0.06443603,-0.067233086
1714956768271,0.15115917,0.03171283,-0.07339573
1714956768275,0.11356878,2.1259487E-4,-0.06973553
1714956768280,0.075317144,-0.014225557,-0.0784235
1714956768288,0.031155825,-0.04934004,-0.053479195
1714956768292,-0.021793842,-0.05157745,-0.052271843
1714956768296,-0.05342722,-0.062982224,-0.024252892
