Time,X,Y,Z
1714956711292,0.0,0.0,0.0
1714956711296,0.0033622384,-0.0021669865,0.044459343
1714956711301,0.0044656396,-0.012557626,0.09253788
1714956711305,0.017489076,-0.025763392,0.19286537
1714956711309,0.043429613,-0.03248453,0.3261013
1714956711319,0.09656352,-0.027784228,0.45820618
1714956711322,0.09168893,-0.035443783,0.5189285
1714956711326,0.08009446,-0.021467447,0.4921112
1714956711331,0.058277845,-0.018051744,0.4016838
1714956711335,0.0552361,-0.08415532,0.2652979
1714956711344,9.290576E-4,0.29975462,0.16180897
1714956711349,-0.031147122,0.029108763,-0.0080423355
1714956711352,-0.026517093,-0.056088567,-0.2126522
1714956711360,-0.07970333,0.11058259,-0.3341198
1714956711361,-0.104929686,0.08449304,-0.42613125
1714956711365,-0.12666368,0.12765908,-0.47505283
1714956711374,-0.124863625,0.13212562,-0.510128
1714956711378,-0.08352214,0.11671758,-0.49357986
1714956711382,-0.04032457,0.14761162,-0.42073727
1714956711387,0.006046355,0.15686655,-0.35038185
1714956711391,0.043972194,0.08694196,-0.24158478
1714956711395,0.1547153,-0.19486511,-0.22311306
1714956711404,-0.03480637,0.6379889,-0.082304
1714956711408,0.028534234,-0.06133139,-0.14930248
1714956711412,0.17582399,-0.33286893,-0.25733662
1714956711416,-0.09733349,0.4576131,-0.12629128
1714956711421,0.04364091,-0.4527253,-0.23775864
1714956711425,-0.074659824,0.19244885,-0.1727972
1714956711434,-0.16304272,0.09828067,-0.08586311
1714956711438,0.097626746,-0.669681,-0.25103855
1714956711442,-0.065308034,0.04601872,-0.105573654
1714956711447,1.3554096E-4,-0.13245332,-0.054427147
1714956711451,0.06901455,-0.1267488,0.01309967
1714956711455,0.09974128,0.003115654,0.06412697
1714956711464,0.15035093,0.02530694,0.060979843
1714956711468,0.16901189,0.1064986,-0.0024690628
1714956711472,0.16865444,0.14049184,-0.08151913
1714956711476,0.17768836,0.10875523,-0.14185143
1714956711481,0.18371618,0.043300867,-0.18160343
1714956711485,0.08637428,0.3614719,-0.24218178
1714956711493,-0.008790553,0.15851581,-0.3393736
1714956711498,0.16202176,-0.5075525,-0.55505466
1714956711502,-0.14940321,0.5275407,-0.41509056
1714956711507,-0.051962674,-0.2459451,-0.546175
1714956711511,-0.06620324,-0.002588749,-0.5111513
1714956711515,-0.26430815,0.3499533,-0.34038448
1714956711525,0.061206818,-0.87011975,-0.5320034
1714956711528,-0.16539806,0.32782912,-0.2200756
1714956711533,-0.17532879,-0.0046494007,-0.105843544
1714956711536,0.043984473,-0.5025459,-0.032102585
1714956711541,-0.0875805,0.15513921,0.23413467
1714956711545,0.05625844,-0.21686852,0.22247982
1714956711553,0.06834185,-0.037101865,0.2877941
1714956711558,0.09569943,0.06893611,0.31710434
1714956711562,0.16195452,0.010353684,0.21960545
1714956711566,0.15506256,0.076477766,0.11821842
1714956711571,0.14259523,0.06318414,0.014386177
1714956711580,0.10743612,0.04682672,-0.10534668
1714956711584,0.039769232,0.041189432,-0.24634075
1714956711588,-0.02414757,0.1338234,-0.3044529
1714956711592,-0.06403041,-0.03433752,-0.32138443
1714956711596,0.01159519,-0.21365976,-0.30664253
1714956711601,-0.19996518,0.48381937,-0.14396286
1714956711609,0.046076298,-0.59852725,-0.24493694
1714956711613,-0.011960506,0.1004684,0.06769085
1714956711617,-0.16614121,0.46320117,0.25519085
1714956711622,0.18435693,-0.5241151,0.34219074
1714956711626,0.011398613,0.44231176,0.71857643
1714956711630,0.11485529,-0.24060869,0.6638441
1714956711641,0.21948981,-0.25174272,0.7170601
1714956711643,-0.1297298,0.8296888,0.82037735
1714956711648,0.16234899,-0.55797094,0.578701
1714956711652,0.044522643,0.15759373,0.53913593
1714956711656,-0.07040244,0.15958154,0.30188465
1714956711661,0.069256544,-0.44512236,0.007367134
1714956711669,-0.24867624,0.7183857,-0.09319019
1714956711673,-0.123386204,-0.21115398,-0.4088297
1714956711677,-0.1702388,-0.054865003,-0.47871113
1714956711682,-0.21809477,0.10599494,-0.51451206
1714956711686,-0.18409455,0.06672752,-0.50617504
1714956711691,-0.13966298,0.06162882,-0.4325428
1714956711698,-0.13152027,0.065740585,-0.37046337
1714956711703,-0.09455335,0.033925653,-0.2419653
1714956711708,-0.0862658,-0.033961296,-0.09484577
1714956711711,-0.09432179,-0.05839336,-0.03257084
1714956711716,-0.09644592,-0.11503875,-0.012116432
1714956711721,-0.06343675,-0.09289169,0.079769135
1714956711728,-6.586313E-5,-0.08113742,0.1810875
1714956711733,0.07992977,-0.058585048,0.2635107
1714956711737,0.124367595,-0.014998794,0.3169737
1714956711741,0.121359944,0.034344435,0.25793076
1714956711746,0.123411775,0.045672774,0.14158821
1714956711750,0.13794541,0.031470656,7.839203E-4
1714956711758,0.12292814,-0.021564603,-0.10142326
1714956711763,0.12193167,-0.030708075,-0.18044758
1714956711767,0.10846871,-0.01118505,-0.2343874
1714956711771,0.09462106,0.026034832,-0.2777481
1714956711775,0.05447799,0.058249354,-0.30612946
1714956711781,0.026143968,0.07478523,-0.31929302
1714956711789,0.0029467344,0.054570436,-0.3047619
1714956711793,-0.027725518,0.06398523,-0.24503803
1714956711797,-0.037623286,0.05036986,-0.21540928
1714956711801,-0.06301689,0.03854847,-0.21847916
1714956711805,-0.092338085,0.030385613,-0.20363426
1714956711814,-0.07028794,-0.013738632,-0.1692276
1714956711818,-0.044136167,-0.020251751,-0.13530731
